GLC2000,GEZ_TERM,REGION,FRONTIER,CARBON_VALUE
1  - 3: Broadleaf forest classes,Tropical rainforest,Africa,0,200
1  - 3: Broadleaf forest classes,Tropical rainforest,Africa,1,200
1  - 3: Broadleaf forest classes,Tropical rainforest,North America,0,193
1  - 3: Broadleaf forest classes,Tropical rainforest,North America,1,193
1  - 3: Broadleaf forest classes,Tropical rainforest,South America,0,193
1  - 3: Broadleaf forest classes,Tropical rainforest,South America,1,193
1  - 3: Broadleaf forest classes,Tropical rainforest,Asia,0,180
1  - 3: Broadleaf forest classes,Tropical rainforest,Asia,1,180
1  - 3: Broadleaf forest classes,Tropical rainforest,Asia (insular),0,225
1  - 3: Broadleaf forest classes,Tropical rainforest,Asia (insular),1,225
1  - 3: Broadleaf forest classes,Tropical rainforest,Australia,0,199.5
1  - 3: Broadleaf forest classes,Tropical rainforest,Australia,1,199.5
1  - 3: Broadleaf forest classes,Tropical moist deciduous forest,Africa,0,152
1  - 3: Broadleaf forest classes,Tropical moist deciduous forest,Africa,1,152
1  - 3: Broadleaf forest classes,Tropical moist deciduous forest,North America,0,128
1  - 3: Broadleaf forest classes,Tropical moist deciduous forest,North America,1,128
1  - 3: Broadleaf forest classes,Tropical moist deciduous forest,South America,0,128
1  - 3: Broadleaf forest classes,Tropical moist deciduous forest,South America,1,128
1  - 3: Broadleaf forest classes,Tropical moist deciduous forest,Asia,0,105
1  - 3: Broadleaf forest classes,Tropical moist deciduous forest,Asia,1,105
1  - 3: Broadleaf forest classes,Tropical moist deciduous forest,Asia (insular),0,169
1  - 3: Broadleaf forest classes,Tropical moist deciduous forest,Asia (insular),1,169
1  - 3: Broadleaf forest classes,Tropical mountain system,Africa,0,69
1  - 3: Broadleaf forest classes,Tropical mountain system,Africa,1,69
1  - 3: Broadleaf forest classes,Tropical mountain system,North America,0,87
1  - 3: Broadleaf forest classes,Tropical mountain system,North America,1,87
1  - 3: Broadleaf forest classes,Tropical mountain system,South America,0,87
1  - 3: Broadleaf forest classes,Tropical mountain system,South America,1,87
1  - 3: Broadleaf forest classes,Tropical mountain system,Asia,0,81
1  - 3: Broadleaf forest classes,Tropical mountain system,Asia,1,81
1  - 3: Broadleaf forest classes,Tropical mountain system,Asia (insular),0,122
1  - 3: Broadleaf forest classes,Tropical mountain system,Asia (insular),1,122
1  - 3: Broadleaf forest classes,Tropical dry forest,Africa,0,72
1  - 3: Broadleaf forest classes,Tropical desert,Africa,0,72
1  - 3: Broadleaf forest classes,Tropical shrubland,Africa,0,72
1  - 3: Broadleaf forest classes,Tropical dry forest,Africa,1,72
1  - 3: Broadleaf forest classes,Tropical desert,Africa,1,72
1  - 3: Broadleaf forest classes,Tropical shrubland,Africa,1,72
1  - 3: Broadleaf forest classes,Tropical dry forest,North America,0,126
1  - 3: Broadleaf forest classes,Tropical desert,North America,0,126
1  - 3: Broadleaf forest classes,Tropical shrubland,North America,0,126
1  - 3: Broadleaf forest classes,Tropical dry forest,North America,1,126
1  - 3: Broadleaf forest classes,Tropical desert,North America,1,126
1  - 3: Broadleaf forest classes,Tropical shrubland,North America,1,126
1  - 3: Broadleaf forest classes,Tropical dry forest,South America,0,126
1  - 3: Broadleaf forest classes,Tropical desert,South America,0,126
1  - 3: Broadleaf forest classes,Tropical shrubland,South America,0,126
1  - 3: Broadleaf forest classes,Tropical dry forest,South America,1,126
1  - 3: Broadleaf forest classes,Tropical desert,South America,1,126
1  - 3: Broadleaf forest classes,Tropical shrubland,South America,1,126
1  - 3: Broadleaf forest classes,Tropical dry forest,Asia,0,78
1  - 3: Broadleaf forest classes,Tropical desert,Asia,0,78
1  - 3: Broadleaf forest classes,Tropical shrubland,Asia,0,78
1  - 3: Broadleaf forest classes,Tropical dry forest,Asia,1,78
1  - 3: Broadleaf forest classes,Tropical desert,Asia,1,78
1  - 3: Broadleaf forest classes,Tropical shrubland,Asia,1,78
1  - 3: Broadleaf forest classes,Tropical dry forest,Asia (insular),0,96
1  - 3: Broadleaf forest classes,Tropical desert,Asia (insular),0,96
1  - 3: Broadleaf forest classes,Tropical shrubland,Asia (insular),0,96
1  - 3: Broadleaf forest classes,Tropical dry forest,Asia (insular),1,96
1  - 3: Broadleaf forest classes,Tropical desert,Asia (insular),1,96
1  - 3: Broadleaf forest classes,Tropical shrubland,Asia (insular),1,96
1  - 3: Broadleaf forest classes,Tropical dry forest,Australia,0,93
1  - 3: Broadleaf forest classes,Tropical desert,Australia,0,93
1  - 3: Broadleaf forest classes,Tropical shrubland,Australia,0,93
1  - 3: Broadleaf forest classes,Tropical dry forest,Australia,1,93
1  - 3: Broadleaf forest classes,Tropical desert,Australia,1,93
1  - 3: Broadleaf forest classes,Tropical shrubland,Australia,1,93
1  - 3: Broadleaf forest classes,Subtropical humid forest,Africa,0,134
1  - 3: Broadleaf forest classes,Subtropical humid forest,Africa,1,134
1  - 3: Broadleaf forest classes,Subtropical humid forest,North America,0,128
1  - 3: Broadleaf forest classes,Subtropical humid forest,North America,1,128
1  - 3: Broadleaf forest classes,Subtropical humid forest,South America,0,128
1  - 3: Broadleaf forest classes,Subtropical humid forest,South America,1,128
1  - 3: Broadleaf forest classes,Subtropical humid forest,Asia,0,105
1  - 3: Broadleaf forest classes,Subtropical humid forest,Asia,1,105
1  - 3: Broadleaf forest classes,Subtropical humid forest,Asia (insular),0,169
1  - 3: Broadleaf forest classes,Subtropical humid forest,Asia (insular),1,169
1  - 3: Broadleaf forest classes,Subtropical humid forest,Australia,0,134
1  - 3: Broadleaf forest classes,Subtropical humid forest,Australia,1,134
1  - 3: Broadleaf forest classes,Subtropical humid forest,New Zealand,0,134
1  - 3: Broadleaf forest classes,Subtropical humid forest,New Zealand,1,134
1  - 3: Broadleaf forest classes,Subtropical mountain system,Africa,0,30
1  - 3: Broadleaf forest classes,Subtropical mountain system,Africa,1,30
1  - 3: Broadleaf forest classes,Subtropical mountain system,North America,0,87
1  - 3: Broadleaf forest classes,Subtropical mountain system,North America,1,87
1  - 3: Broadleaf forest classes,Subtropical mountain system,South America,0,87
1  - 3: Broadleaf forest classes,Subtropical mountain system,South America,1,87
1  - 3: Broadleaf forest classes,Subtropical mountain system,Asia,0,81
1  - 3: Broadleaf forest classes,Subtropical mountain system,Asia,1,81
1  - 3: Broadleaf forest classes,Subtropical mountain system,Europe,0,81
1  - 3: Broadleaf forest classes,Subtropical mountain system,Europe,1,81
